Date/Time,CELLS:ROOMX1:Zone Outdoor Air Drybulb Temperature [C](TimeStep),PEOPLE CELLS:ROOMX1:People Occupant Count [](TimeStep),CELLS:ROOMX1:Zone Mean Radiant Temperature [C](TimeStep),CELLS:ROOMX1:Zone Mean Air Temperature [C](TimeStep),CELLS:ROOMX1:Zone Air Relative Humidity [%](TimeStep),CELLS:ROOMX1 IDEAL LOADS AIR:Zone Ideal Loads Zone Total Heating Energy [J](TimeStep),Electricity:Facility [J](Hourly),DistrictCooling:Facility [J](Hourly),DistrictHeating:Facility [J](Hourly),Carbon Equivalent:Facility [kg](Hourly),Electricity:Facility [J](Daily),DistrictCooling:Facility [J](Daily),DistrictHeating:Facility [J](Daily),Carbon Equivalent:Facility [kg](Daily),Electricity:Facility [J](Monthly),DistrictCooling:Facility [J](Monthly),DistrictHeating:Facility [J](Monthly),Carbon Equivalent:Facility [kg](Monthly),Electricity:Facility [J](RunPeriod),DistrictCooling:Facility [J](RunPeriod),DistrictHeating:Facility [J](RunPeriod),Carbon Equivalent:Facility [kg](RunPeriod),Electricity:Facility [J](TimeStep),DistrictCooling:Facility [J](TimeStep),DistrictHeating:Facility [J](TimeStep),Carbon Equivalent:Facility [kg](TimeStep) 
 01/01  11:20:00,0.32390833993201609,0.0,7.323413893318196,6.885479630997667,43.87246408456846,0.0,,,,,,,,,,,,,,,,,968.719248,0.0,168264.01457506993,0.0 
 01/01  11:30:00,0.4405750065986827,0.0,7.399260820830825,6.942422825697929,43.8588672316612,0.0,,,,,,,,,,,,,,,,,968.719248,0.0,167072.66200700799,0.0 
 01/01  11:40:00,0.5572416732653494,0.0,7.421205255468429,6.995920162560687,43.87297439448348,0.0,,,,,,,,,,,,,,,,,968.719248,0.0,165778.38879457207,0.0 
 01/01  11:50:00,0.673908339932016,0.0,7.460834956231119,7.0408806956606899,43.92897685699453,0.0,,,,,,,,,,,,,,,,,968.719248,0.0,164390.26127233066,0.0 
 01/01  12:00:00,0.7905750065986827,0.0,7.498570097909299,7.08110690437052,44.01445084956474,0.0,5812.315488,0.0,997852.0204977198,0.0,,,,,,,,,,,,,968.719248,0.0,162964.8838542781,0.0 
 01/01  12:10:00,0.8239083399320161,0.0,7.535691172934679,7.1182353185037539,44.105096697085929,0.0,,,,,,,,,,,,,,,,,968.719248,0.0,161774.6781182933,0.0 
 01/01  12:20:00,0.8572416732653494,0.0,7.572433946690558,7.153610236193164,44.188530410373889,0.0,,,,,,,,,,,,,,,,,968.719248,0.0,160572.22888406396,0.0 
 01/01  12:30:00,0.8905750065986827,0.0,7.608906163075546,7.188178090437703,44.25886763608009,0.0,,,,,,,,,,,,,,,,,968.719248,0.0,159372.42217695187,0.0 
 01/01  12:40:00,0.923908339932016,0.0,7.834192845400899,7.289252441420975,44.112704800744129,0.0,,,,,,,,,,,,,,,,,968.719248,0.0,158165.9352638143,0.0 
 01/01  12:50:00,0.9572416732653494,0.0,8.030426323741502,7.472965858455168,43.70571291156891,0.0,,,,,,,,,,,,,,,,,968.719248,0.0,156802.86032482296,0.0 
 01/01  13:00:00,0.9905750065986828,0.0,8.300976511671891,7.730147039963053,43.07423381173221,0.0,5812.315488,0.0,951788.2228852336,0.0,,,,,,,,,,,,,968.719248,0.0,155100.0981172873,0.0 
 01/01  13:10:00,1.0572416732653494,0.0,8.561440324883005,7.904964206908546,42.592940563298188,0.0,,,,,,,,,,,,,,,,,968.719248,0.0,152885.85095635354,0.0 
 01/01  13:20:00,1.123908339932016,0.0,8.881876177304428,8.32119595270651,41.521121686984319,0.0,,,,,,,,,,,,,,,,,968.719248,0.0,150266.2537365955,0.0 
 01/01  13:30:00,1.1905750065986827,0.0,9.19688396795243,8.711624998648097,40.54570747208112,0.0,,,,,,,,,,,,,,,,,968.719248,0.0,147301.04557609093,0.0 
 01/01  13:40:00,1.2572416732653494,0.0,9.398051654105869,9.033410812336392,39.77497396832149,0.0,,,,,,,,,,,,,,,,,968.719248,0.0,144089.1642857814,0.0 
 01/01  13:50:00,1.3239083399320162,0.0,9.576984521501048,9.272291800256996,39.23465703241696,0.0,,,,,,,,,,,,,,,,,968.719248,0.0,140902.98554281557,0.0 
 01/01  14:00:00,1.3905750065986827,0.0,9.716069444014965,9.449748841921709,38.85876572282787,0.0,5812.315488,0.0,873779.6503428283,0.0,,,,,,,,,,,,,968.719248,0.0,138334.35024519135,0.0 
 01/01  14:10:00,1.473908339932016,0.0,9.848400393873839,9.59016595281846,38.576217680903678,0.0,,,,,,,,,,,,,,,,,968.719248,0.0,134686.92137419366,0.0 
 01/01  14:20:00,1.5572416732653494,0.0,9.958309960682707,9.708071349894402,38.34779497473008,0.0,,,,,,,,,,,,,,,,,968.719248,0.0,131001.26089795605,0.0 
 01/01  14:30:00,1.6405750065986827,0.0,10.058976368944924,9.810590964397744,38.154104194144888,0.0,,,,,,,,,,,,,,,,,968.719248,0.0,127346.46124646046,0.0 
 01/01  14:40:00,1.723908339932016,0.0,10.102345807243319,9.878991805176359,38.042488327890968,0.0,,,,,,,,,,,,,,,,,968.719248,0.0,123784.05126855833,0.0 
 01/01  14:50:00,1.8072416732653492,0.0,10.131717970170469,9.909113200265674,38.02293787667666,0.0,,,,,,,,,,,,,,,,,968.719248,0.0,120408.58599334077,0.0 
 01/01  15:00:00,1.8905750065986827,0.0,10.135820530126502,9.907409954926056,38.07898104921024,0.0,5812.315488,0.0,754494.6156247892,0.0,,,,,,,,,,,,,968.719248,0.0,117267.33484427996,0.0 
 01/01  15:10:00,1.873908339932016,0.0,10.12639913369423,9.884045058721338,38.18502303198182,0.0,,,,,,,,,,,,,,,,,968.719248,0.0,114714.32347822521,0.0 
 01/01  15:20:00,1.8572416732653495,0.0,10.099095830075214,9.845233851278718,38.32200831427711,0.0,,,,,,,,,,,,,,,,,968.719248,0.0,112484.98900281558,0.0 
 01/01  15:30:00,1.8405750065986828,0.0,10.062343582584438,9.794610667436098,38.48084592176696,0.0,,,,,,,,,,,,,,,,,968.719248,0.0,110585.63137903475,0.0 
 01/01  15:40:00,1.8239083399320162,0.0,9.992388692358008,9.72499102225962,38.68093023133695,0.0,,,,,,,,,,,,,,,,,968.719248,0.0,109040.41581276289,0.0 
 01/01  15:50:00,1.8072416732653494,0.0,9.911918150211314,9.634762763482476,38.927734572361689,0.0,,,,,,,,,,,,,,,,,968.719248,0.0,107843.00861725751,0.0 
