Date/Time,Electricity:Facility [J](Hourly),DistrictCooling:Facility [J](Hourly),DistrictHeating:Facility [J](Hourly),Carbon Equivalent:Facility [kg](Hourly),Electricity:Facility [J](Daily),DistrictCooling:Facility [J](Daily),DistrictHeating:Facility [J](Daily),Carbon Equivalent:Facility [kg](Daily),Electricity:Facility [J](Monthly),DistrictCooling:Facility [J](Monthly),DistrictHeating:Facility [J](Monthly),Carbon Equivalent:Facility [kg](Monthly),Electricity:Facility [J](RunPeriod),DistrictCooling:Facility [J](RunPeriod),DistrictHeating:Facility [J](RunPeriod),Carbon Equivalent:Facility [kg](RunPeriod),Electricity:Facility [J](TimeStep),DistrictCooling:Facility [J](TimeStep),DistrictHeating:Facility [J](TimeStep),Carbon Equivalent:Facility [kg](TimeStep) 
 01/02  00:10:00,,,,,,,,,,,,,,,,,968.719248,0.0,172069.27191867907,0.0 
 01/02  00:20:00,,,,,,,,,,,,,,,,,968.719248,0.0,173116.00088568554,0.0 
 01/02  00:30:00,,,,,,,,,,,,,,,,,968.719248,0.0,174156.1212319879,0.0 
 01/02  00:40:00,,,,,,,,,,,,,,,,,968.719248,0.0,175190.50739411964,0.0 
 01/02  00:50:00,,,,,,,,,,,,,,,,,968.719248,0.0,176224.79464417895,0.0 
 01/02  01:00:00,5812.315488,0.0,1048019.3869634578,0.0,,,,,,,,,,,,,968.719248,0.0,177262.69088880687,0.0 
 01/02  01:10:00,,,,,,,,,,,,,,,,,968.719248,0.0,178459.81054983717,0.0 
 01/02  01:20:00,,,,,,,,,,,,,,,,,968.719248,0.0,179652.52797856189,0.0 
 01/02  01:30:00,,,,,,,,,,,,,,,,,968.719248,0.0,180831.69805906033,0.0 
 01/02  01:40:00,,,,,,,,,,,,,,,,,968.719248,0.0,181992.15509092256,0.0 
 01/02  01:50:00,,,,,,,,,,,,,,,,,968.719248,0.0,183136.5144201067,0.0 
 01/02  02:00:00,5812.315488,0.0,1088341.9494815453,0.0,,,,,,,,,,,,,968.719248,0.0,184269.24338305684,0.0 
 01/02  02:10:00,,,,,,,,,,,,,,,,,968.719248,0.0,184973.08741840023,0.0 
 01/02  02:20:00,,,,,,,,,,,,,,,,,968.719248,0.0,185669.34608588837,0.0 
 01/02  02:30:00,,,,,,,,,,,,,,,,,968.719248,0.0,186358.46940509097,0.0 
 01/02  02:40:00,,,,,,,,,,,,,,,,,968.719248,0.0,187041.1681812174,0.0 
 01/02  02:50:00,,,,,,,,,,,,,,,,,968.719248,0.0,187718.0965524236,0.0 
 01/02  03:00:00,5812.315488,0.0,1120150.3227888947,0.0,,,,,,,,,,,,,968.719248,0.0,188390.15514587426,0.0 
 01/02  03:10:00,,,,,,,,,,,,,,,,,968.719248,0.0,189108.83939055156,0.0 
 01/02  03:20:00,,,,,,,,,,,,,,,,,968.719248,0.0,189822.46150457304,0.0 
 01/02  03:30:00,,,,,,,,,,,,,,,,,968.719248,0.0,190529.25495465668,0.0 
 01/02  03:40:00,,,,,,,,,,,,,,,,,968.719248,0.0,191228.14197117487,0.0 
 01/02  03:50:00,,,,,,,,,,,,,,,,,968.719248,0.0,191918.293937576,0.0 
 01/02  04:00:00,5812.315488,0.0,1145206.4818346666,0.0,,,,,,,,,,,,,968.719248,0.0,192599.49007613437,0.0 
 01/02  04:10:00,,,,,,,,,,,,,,,,,968.719248,0.0,193324.23988827115,0.0 
 01/02  04:20:00,,,,,,,,,,,,,,,,,968.719248,0.0,194041.7761743026,0.0 
 01/02  04:30:00,,,,,,,,,,,,,,,,,968.719248,0.0,194754.94940675799,0.0 
 01/02  04:40:00,,,,,,,,,,,,,,,,,968.719248,0.0,195466.52178485454,0.0 
 01/02  04:50:00,,,,,,,,,,,,,,,,,968.719248,0.0,196183.06878601068,0.0 
