Date/Time,CELLS:ROOMX1:Zone Outdoor Air Drybulb Temperature [C](TimeStep),PEOPLE CELLS:ROOMX1:People Occupant Count [](TimeStep),CELLS:ROOMX1:Zone Mean Radiant Temperature [C](TimeStep),CELLS:ROOMX1:Zone Mean Air Temperature [C](TimeStep),CELLS:ROOMX1:Zone Air Relative Humidity [%](TimeStep),CELLS:ROOMX1 IDEAL LOADS AIR:Zone Ideal Loads Zone Total Heating Energy [J](TimeStep),Electricity:Facility [J](Hourly),DistrictCooling:Facility [J](Hourly),DistrictHeating:Facility [J](Hourly),Carbon Equivalent:Facility [kg](Hourly),Electricity:Facility [J](Daily),DistrictCooling:Facility [J](Daily),DistrictHeating:Facility [J](Daily),Carbon Equivalent:Facility [kg](Daily),Electricity:Facility [J](Monthly),DistrictCooling:Facility [J](Monthly),DistrictHeating:Facility [J](Monthly),Carbon Equivalent:Facility [kg](Monthly),Electricity:Facility [J](RunPeriod),DistrictCooling:Facility [J](RunPeriod),DistrictHeating:Facility [J](RunPeriod),Carbon Equivalent:Facility [kg](RunPeriod),Electricity:Facility [J](TimeStep),DistrictCooling:Facility [J](TimeStep),DistrictHeating:Facility [J](TimeStep),Carbon Equivalent:Facility [kg](TimeStep) 
 01/01  16:40:00,1.123908339932016,0.0,9.829272805901331,9.4515437461656,39.413556856684227,0.0,,,,,,,,,,,,,,,,,968.719248,0.0,103052.65233274286,0.0 
 01/01  16:50:00,0.9572416732653494,0.0,9.726483516299695,9.321577936615109,39.75957368362473,0.0,,,,,,,,,,,,,,,,,968.719248,0.0,103804.82614664042,0.0 
 01/01  17:00:00,0.7905750065986827,0.0,9.574054199572526,9.186464788287433,40.12236666168478,0.0,5812.315488,0.0,617577.396471638,0.0,,,,,,,,,,,,,968.719248,0.0,104560.03971214034,0.0 
 01/01  17:10:00,0.4739083399320161,0.0,9.489636589047827,9.053943234315865,40.483428336074258,0.0,,,,,,,,,,,,,,,,,968.719248,0.0,105535.8556805997,0.0 
 01/01  17:20:00,0.15724167326534944,0.0,9.412163632581386,8.938505435578812,40.80022426707986,0.0,,,,,,,,,,,,,,,,,968.719248,0.0,107135.21000087005,0.0 
 01/01  17:30:00,-0.15942499340131734,0.0,9.337194111766424,8.84010326799786,41.06902900249972,0.0,,,,,,,,,,,,,,,,,968.719248,0.0,109085.25313617946,0.0 
 01/01  17:40:00,-0.476091660067984,0.0,9.269806110783094,8.752855882727499,41.30141073522925,0.0,,,,,,,,,,,,,,,,,968.719248,0.0,111220.66158977752,0.0 
 01/01  17:50:00,-0.7927583267346507,0.0,9.20477262279052,8.67135686246214,41.50961900127159,0.0,,,,,,,,,,,,,,,,,968.719248,0.0,113481.61392108744,0.0 
 01/01  18:00:00,-1.1094249934013175,0.0,9.144098332808167,8.593385530601726,41.69851660474129,0.0,5812.315488,0.0,662293.9417001393,0.0,,,,,,,,,,,,,968.719248,0.0,115835.34737162516,0.0 
 01/01  18:10:00,-1.176091660067984,0.0,9.086441008304084,8.524023722020795,41.858963954023099,0.0,,,,,,,,,,,,,,,,,968.719248,0.0,117480.96417273693,0.0 
 01/01  18:20:00,-1.2427583267346508,0.0,9.032042187929119,8.463544008812843,41.992436263896497,0.0,,,,,,,,,,,,,,,,,968.719248,0.0,119164.63323000501,0.0 
 01/01  18:30:00,-1.3094249934013174,0.0,8.979605334554318,8.408693276879044,42.10917980678563,0.0,,,,,,,,,,,,,,,,,968.719248,0.0,120855.32311307878,0.0 
 01/01  18:40:00,-1.376091660067984,0.0,8.929819758236974,8.356733511589767,42.217066495568129,0.0,,,,,,,,,,,,,,,,,968.719248,0.0,122535.92219243094,0.0 
 01/01  18:50:00,-1.4427583267346507,0.0,8.881359225281108,8.306396692539954,42.319564000380477,0.0,,,,,,,,,,,,,,,,,968.719248,0.0,124193.22730070116,0.0 
 01/01  19:00:00,-1.5094249934013174,0.0,8.834663830089312,8.257520506540225,42.41700533340912,0.0,5812.315488,0.0,730053.8532976954,0.0,,,,,,,,,,,,,968.719248,0.0,125823.78328874249,0.0 
 01/01  19:10:00,-1.6760916600679839,0.0,8.789111721637859,8.208119220717137,42.49897635970964,0.0,,,,,,,,,,,,,,,,,968.719248,0.0,127731.39937943703,0.0 
 01/01  19:20:00,-1.8427583267346506,0.0,8.744717853921108,8.158104725756259,42.55969669479299,0.0,,,,,,,,,,,,,,,,,968.719248,0.0,129614.27241302646,0.0 
